# protools/abhack/attrTabCompletion.txt is a list of ABL attribute and methods to use on TAB in Seb's AppBuilder Hack
# lines that begins with '#' are ignored
# This file is reloaded each time you recheck its corresponding toggle-box





PREV-SIBLING                FILL-IN,PROCEDURE,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU-ITEM,SUB-MENU
PREV-TAB-ITEM               FILL-IN,BROWSE,EDITOR,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TOGGLE-BOX
PRIMARY                     BUFFER,TEMP-TABLE
PRINTER-CONTROL-HANDLE      SESSION
PRINTER-HDC                 SESSION
PRINTER-NAME                SESSION
PRINTER-PORT                SESSION
PRIVATE-DATA                FILL-IN,BUFFER,BUFFER-FIELD,TEMP-TABLE,PROCEDURE,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU,QUERY,CALL,X-DOCUMENT,X-NODEREF,SAX-READER
PROXY                       PROCEDURE
PROXY-PASSWORD              SESSION
PROXY-USERID                SESSION
PUBLISHED-EVENTS            PROCEDURE
QUERY                       BROWSE
QUERY-CLOSE()               QUERY
QUERY-OFF-END               QUERY
QUERY-OPEN()                QUERY
QUERY-PREPARE()             QUERY
RAW-TRANSFER()              BUFFER
READ-FILE()                 EDITOR
READ-ONLY                   FILL-IN,BUFFER-FIELD,BROWSE,BROWSE-COLUMN,EDITOR,TEXT,MENU-ITEM
RECID                       BUFFER
RECORD-LENGTH               BUFFER
REFRESH()                   BROWSE
REFRESHABLE                 BROWSE
REMOTE                      PROCEDURE,SESSION
REMOVE-SUPER-PROCEDURE()    PROCEDURE,SESSION
REPLACE()                   EDITOR,RADIO-SET,SELECTION-LIST,COMBO-BOX
REPLACE-SELECTION-TEXT()    EDITOR
REPOSITION-BACKWARD()       QUERY
REPOSITION-FORWARD()        QUERY
REPOSITION-TO-ROW()         QUERY
REPOSITION-TO-ROWID()       QUERY
